SMPLID	Mophological.cluster.G4_0	Mophological.cluster.G4_1	Mophological.cluster.G4_2	Mophological.cluster.G4_3	Mophological.cluster.G4_4	Mophological.cluster.G4_5	Mophological.cluster.G4_6	Mophological.cluster.G4_7	Mophological.cluster.G4_8	Mophological.cluster.G4_9	Mophological.cluster.G4_10	Mophological.cluster.G4_11	Mophological.cluster.G4_12	Mophological.cluster.G4_13	Mophological.cluster.G4_14	Mophological.cluster.G4_15	Mophological.cluster.G4_16	Mophological.cluster.G4_17	Mophological.cluster.G4_18	Mophological.cluster.G4_19	Mophological.cluster.G4_20	Mophological.cluster.G4_21	Mophological.cluster.G4_22	Mophological.cluster.G4_23	Mophological.cluster.G4_24	Mophological.cluster.G4_25	Mophological.cluster.G4_26	Mophological.cluster.G4_27	Mophological.cluster.G4_28	Mophological.cluster.G4_29	Mophological.cluster.G4_30	Mophological.cluster.G4_31
GTEX.111CU.0226	524	257	773	222	139	153	145	180	2	78	8	0	0	3	12	0	69	48	541	1377	2	3842	39	26	799	10	17	441	19	337	185	296
GTEX.111FC.1026	0	0	5	49	1	165	15	42	1151	0	15	540	1133	225	0	0	46	9	0	2	330	0	14	2	8	497	9	74	427	39	10	31
GTEX.111VG.0526	0	53	5	20	1377	507	0	7	0	737	13	337	1	8	36	877	0	2	7	3	0	28	1	1	243	714	1	576	2088	793	2601	78
GTEX.111YS.0726	41	21	62	42	196	62	26	46	2	97	6	0	2	4	7	0	11	65	29	146	4	548	71	0	213	11	112	12	7	94	334	53
GTEX.1122O.0226	1729	751	1037	242	99	153	1166	719	3	939	798	59	1	5	1772	0	601	356	1641	593	7	475	228	2	573	259	257	75	242	349	15	635
GTEX.1128S.0126	116	231	147	164	0	242	682	298	567	898	528	323	505	2999	862	0	454	243	280	242	1375	51	99	2	60	285	141	158	70	59	79	257
GTEX.113JC.0126	376	490	1039	388	45	534	734	785	101	386	544	167	69	544	402	1	350	457	261	1630	152	51	266	0	278	186	87	12	165	212	35	486
GTEX.117XS.0526	17	129	55	893	11	242	602	487	1486	325	1106	644	888	834	226	0	555	628	11	54	885	0	252	2	27	816	394	42	399	85	74	419
GTEX.117YW.0126	154	121	692	150	106	509	431	853	119	2382	770	227	160	1080	2869	25	418	252	962	412	605	45	289	1	340	596	165	50	433	243	67	236
GTEX.117YX.1226	227	230	144	83	357	423	254	468	1	768	604	0	0	4	1551	0	165	68	318	276	8	50	56	0	444	114	11	14	142	225	9	192
GTEX.1192W.0126	97	138	346	262	37	489	325	531	174	406	392	264	342	662	301	0	122	151	52	463	400	3	232	0	109	221	23	62	295	101	24	326
GTEX.1192X.1126	22	52	474	1129	28	676	160	516	809	125	108	365	3008	3157	21	0	209	516	26	1043	1011	4	129	0	163	813	5	114	457	82	132	292
GTEX.11DXX.0226	665	167	164	57	121	162	169	305	0	1742	239	1	1	1	1143	0	107	34	1079	295	5	417	49	2	773	119	18	98	60	309	26	190
GTEX.11DXY.0426	48	83	168	210	19	308	137	297	268	217	179	42	443	857	80	18	113	134	28	353	417	32	157	0	58	325	24	96	109	114	201	224
GTEX.11DXZ.0926	373	48	367	18	232	35	231	146	0	380	98	2	1	5	450	4	134	69	977	136	2	296	23	0	220	64	17	194	73	248	8	39
GTEX.11DYG.0826	47	6	98	158	29	328	357	356	1331	108	214	688	834	1425	35	1	319	188	6	141	1389	0	232	0	49	290	110	216	287	131	9	142
GTEX.11DZ1.2726	13	106	210	298	0	155	572	605	483	129	981	489	254	486	363	0	454	457	30	139	1084	0	164	0	7	333	106	39	286	12	3	179
GTEX.11EI6.0726	4	4	20	215	19	290	339	197	2311	35	257	1598	550	315	26	0	398	250	0	19	948	0	108	0	8	407	174	220	341	112	10	112
GTEX.11EM3.0126	1080	130	894	159	217	355	242	293	2	77	26	0	3	4	49	0	132	100	1015	971	4	1646	124	0	571	50	34	142	32	200	59	167
GTEX.11EMC.0226	114	18	139	51	37	294	74	106	230	348	190	191	450	792	64	0	29	20	122	340	134	132	17	0	266	198	3	35	67	83	121	74
GTEX.11EQ8.0826	8	5	15	35	61	310	17	62	689	356	132	526	2352	814	12	10	30	7	1	37	413	2	22	0	128	1195	3	160	958	224	328	43
GTEX.11EQ9.0626	451	75	555	268	350	107	185	174	5	45	38	7	5	6	8	11	75	66	330	1025	9	1043	63	0	491	100	1	310	220	238	91	180
GTEX.11GS4.0826	135	189	1161	487	38	457	1188	1411	225	408	1057	886	75	791	2119	44	677	613	247	395	1189	8	404	0	55	155	102	2300	452	54	16	277
GTEX.11GSO.0626	7	311	200	1262	0	132	275	946	3044	30	292	978	1660	1623	26	2	485	1086	9	93	1590	0	359	0	5	513	809	0	153	2	118	448
GTEX.11GSP.0126	8	72	15	732	1028	251	5	21	11	1682	34	1651	65	161	93	885	4	3	64	79	9	173	3	384	710	715	0	1710	1325	2099	1236	92
GTEX.11I78.0526	3147	51	280	41	45	228	399	128	0	507	71	9	0	0	175	0	179	152	727	469	0	1072	87	0	1016	47	120	9	27	151	23	145
GTEX.11LCK.0526	464	161	930	213	471	232	537	465	2	185	230	16	0	12	290	0	283	362	508	612	8	271	252	0	378	45	159	660	157	313	20	296
GTEX.11NSD.0126	808	114	360	64	142	81	248	185	1	117	144	6	0	2	232	0	107	131	644	284	4	609	153	0	245	178	142	148	228	151	64	143
GTEX.11NUK.1026	14	78	44	48	14	125	244	200	1465	102	329	406	532	642	66	1	187	103	29	49	1199	6	96	0	13	431	48	62	379	30	16	267
GTEX.11NV4.0626	1	40	5	66	1	40	70	114	487	1	336	526	133	38	13	1505	44	17	0	9	168	0	24	0	3	1023	7	0	182	7	57	379
GTEX.11O72.2326	12	28	65	133	17	251	241	527	975	18	334	447	732	628	37	0	219	90	3	110	1497	0	148	0	10	458	76	157	206	42	3	120
GTEX.11OF3.0626	3	2	8	168	2	242	33	72	518	20	30	202	665	110	1	2	24	50	0	69	146	0	42	0	7	578	23	12	119	9	13	72
GTEX.11P7K.0226	1302	121	952	143	5	99	908	394	1	167	638	30	0	2	260	0	441	190	846	497	0	593	208	0	287	232	244	1	59	61	43	254
GTEX.11P81.0126	224	27	188	62	121	65	84	137	0	185	232	3	1	0	76	0	45	25	206	164	1	139	32	796	284	112	6	173	355	154	6	134
GTEX.11P82.0226	213	506	365	132	203	48	509	285	0	127	549	3	2	0	851	412	320	130	620	194	0	84	92	1	69	122	110	570	588	156	7	328
GTEX.11TT1.1126	1880	58	622	33	144	102	136	129	1	283	70	0	0	1	128	2	69	23	1095	1221	0	4926	74	0	1266	90	7	39	85	304	299	238
GTEX.11TTK.0826	4	4	15	110	19	478	179	256	964	21	190	405	666	401	26	0	186	125	0	35	1242	0	109	0	10	685	61	160	733	74	7	76
GTEX.11TUW.0226	558	604	1254	1190	123	801	874	1409	16	1536	647	323	43	224	1214	26	465	606	907	1896	145	404	466	0	893	487	240	188	556	464	162	796
GTEX.11UD2.0626	175	16	201	84	27	99	150	182	776	365	406	302	731	1345	100	0	80	62	113	141	389	39	50	0	141	558	8	241	273	173	95	65
GTEX.11VI4.0226	393	154	959	49	83	35	576	385	9	264	680	76	3	35	984	0	320	232	1091	285	17	317	110	0	211	385	32	135	214	253	26	109
GTEX.11XUK.0226	54	67	242	12	41	43	50	43	6	145	115	5	6	3	7	328	15	5	250	175	0	2187	15	0	203	952	0	1	108	124	1400	96
GTEX.11ZTS.1126	18	15	267	209	1	340	113	198	482	40	50	515	280	226	0	0	90	105	1	519	43	298	138	0	46	400	94	1	150	34	3709	147
GTEX.11ZTT.1026	615	26	250	92	90	148	96	99	1	321	145	6	2	2	92	0	75	42	354	291	1	2012	46	0	663	137	46	46	369	396	75	95
GTEX.11ZVC.0126	420	50	895	78	77	398	367	451	85	552	372	141	145	688	252	0	206	175	289	954	125	116	268	0	405	216	120	9	235	206	55	250
GTEX.1211K.0726	441	86	769	23	199	56	320	301	32	194	442	27	2	20	576	4	156	74	1183	304	18	266	74	0	283	109	26	322	162	346	14	71
GTEX.1212Z.0426	207	44	424	398	155	589	316	401	783	368	289	808	1755	1735	73	0	181	202	148	1273	365	151	189	0	439	423	25	316	396	222	116	296
GTEX.12584.0826	21	154	204	97	5	98	687	580	11	26	1581	270	3	39	938	0	320	174	46	67	68	2	170	0	4	320	117	20	149	13	2	191
GTEX.12696.0326	679	25	662	56	39	64	227	159	34	667	679	72	37	306	186	0	72	34	1013	300	24	504	29	0	475	440	85	73	496	170	27	81
GTEX.1269C.0226	27	52	136	219	23	322	170	377	464	70	201	494	705	693	101	0	95	178	5	296	515	0	181	0	21	226	16	221	264	132	49	152
