-------------------------------
  Cluster: 	 Mophological.cluster.G4_11 
 -------------------------------
 Number of up-regulated genes:	 170 
 Number of down-regulated genes:	 38 
 -------------------------------
 Gene	baseMean	log2	P	Padj 
 ENSG00000143632.14	  991.7101	1.1054270	1.910683e-29	1.418969e-25
ENSG00000104879.4	  613.4647	1.0248184	6.602286e-24	1.961275e-20
ENSG00000198125.12	  437.2766	0.8220743	1.872419e-20	3.973006e-17
ENSG00000211896.7	53276.8811	0.5993330	2.650688e-05	4.826939e-03
ENSG00000092054.12	  487.3689	0.5848534	4.886714e-10	4.032353e-07
ENSG00000239474.6	  287.3609	0.5834915	3.733023e-28	1.848220e-24
ENSG00000211592.8	48636.8331	0.5738132	3.808673e-05	6.018108e-03
ENSG00000211675.2	 4628.3703	0.5734362	2.380182e-05	4.524836e-03
ENSG00000211895.4	24711.9287	0.5609511	2.406665e-05	4.524836e-03
ENSG00000132465.10	 2944.6255	0.5383062	1.936548e-05	3.994937e-03
