"","candidates","Freq"
"21","ENSG00000115138.10",10
"87","ENSG00000188536.12",9
"8","ENSG00000099194.5",8
"64","ENSG00000167588.12",7
"98","ENSG00000206172.8",7
"7","ENSG00000092054.12",6
"10","ENSG00000104879.4",6
"28","ENSG00000125740.13",6
"75","ENSG00000177575.12",6
"92","ENSG00000198125.12",6
"93","ENSG00000198695.2",6
"115","ENSG00000244734.3",6
"12","ENSG00000105664.10",5
"41","ENSG00000143632.14",5
"43","ENSG00000145569.5",5
"50","ENSG00000157150.4",5
"57","ENSG00000162772.16",5
"69","ENSG00000171658.8",5
"71","ENSG00000173110.7",5
"76","ENSG00000179388.8",5
"78","ENSG00000179869.14",5
"102","ENSG00000211890.3",5
"30","ENSG00000130595.17",4
"39","ENSG00000140961.12",4
"48","ENSG00000155659.14",4
"55","ENSG00000160111.12",4
"72","ENSG00000173991.5",4
"88","ENSG00000196136.17",4
"96","ENSG00000204388.6",4
"97","ENSG00000204389.9",4
"99","ENSG00000211592.8",4
"101","ENSG00000211677.2",4
"106","ENSG00000211896.7",4
"114","ENSG00000239474.6",4
"13","ENSG00000106366.8",3
"27","ENSG00000124491.15",3
"29","ENSG00000125851.9",3
"32","ENSG00000132002.7",3
"33","ENSG00000132465.10",3
"36","ENSG00000137766.16",3
"45","ENSG00000151012.13",3
"54","ENSG00000159251.6",3
"63","ENSG00000166819.11",3
"81","ENSG00000183775.10",3
"83","ENSG00000185499.16",3
"90","ENSG00000196296.13",3
"95","ENSG00000198804.2",3
"100","ENSG00000211675.2",3
"105","ENSG00000211895.4",3
"108","ENSG00000211899.9",3
"113","ENSG00000237973.1",3
"23","ENSG00000116690.12",2
"31","ENSG00000131095.12",2
"49","ENSG00000155966.13",2
"52","ENSG00000159167.11",2
"61","ENSG00000164283.12",2
"62","ENSG00000164879.6",2
"68","ENSG00000171401.14",2
"74","ENSG00000175426.10",2
"77","ENSG00000179593.15",2
"80","ENSG00000182870.12",2
"82","ENSG00000184613.10",2
"84","ENSG00000186594.14",2
"85","ENSG00000187608.8",2
"103","ENSG00000211892.3",2
"104","ENSG00000211893.3",2
"107","ENSG00000211897.8",2
"111","ENSG00000229344.1",2
"112","ENSG00000231852.6",2
"1","ENSG00000019549.9",1
"2","ENSG00000035664.11",1
"3","ENSG00000064886.13",1
"4","ENSG00000068976.13",1
"5","ENSG00000073756.11",1
"6","ENSG00000088836.12",1
"9","ENSG00000100033.16",1
"11","ENSG00000105376.4",1
"14","ENSG00000106483.11",1
"15","ENSG00000108448.20",1
"16","ENSG00000108846.15",1
"17","ENSG00000109205.16",1
"18","ENSG00000110079.16",1
"19","ENSG00000111262.5",1
"20","ENSG00000114854.7",1
"22","ENSG00000116299.16",1
"24","ENSG00000121769.7",1
"25","ENSG00000122145.14",1
"26","ENSG00000122877.15",1
"34","ENSG00000134115.12",1
"35","ENSG00000136155.16",1
"37","ENSG00000138759.18",1
"38","ENSG00000140323.5",1
"40","ENSG00000141449.14",1
"42","ENSG00000144908.13",1
"44","ENSG00000148926.9",1
"46","ENSG00000151632.17",1
"47","ENSG00000151849.14",1
"51","ENSG00000157765.11",1
"53","ENSG00000159189.11",1
"56","ENSG00000162552.14",1
"58","ENSG00000162894.11",1
"59","ENSG00000163661.3",1
"60","ENSG00000164199.16",1
"65","ENSG00000168878.16",1
"66","ENSG00000169429.10",1
"67","ENSG00000169710.8",1
"70","ENSG00000172602.9",1
"73","ENSG00000175084.11",1
"79","ENSG00000181019.12",1
"86","ENSG00000188257.10",1
"89","ENSG00000196188.10",1
"91","ENSG00000197406.7",1
"94","ENSG00000198734.10",1
"109","ENSG00000227039.6",1
"110","ENSG00000228613.1",1
"116","ENSG00000253771.5",1
"117","ENSG00000257671.1",1
"118","ENSG00000260314.2",1
"119","ENSG00000261578.1",1
"120","ENSG00000261786.1",1
"121","ENSG00000277494.1",1
