-------------------------------
  Cluster: 	 Mophological.cluster.G4_3 
 -------------------------------
 Number of up-regulated genes:	 152 
 Number of down-regulated genes:	 36 
 -------------------------------
 Gene	baseMean	log2	P	Padj 
 ENSG00000211592.8	48636.8331	0.6726078	7.361723e-07	3.313667e-04
ENSG00000211896.7	53276.8811	0.6003159	1.933317e-05	4.044718e-03
ENSG00000211897.8	 6014.2915	0.5944124	7.189451e-06	1.941675e-03
ENSG00000211675.2	 4628.3703	0.5669294	2.319776e-05	4.720268e-03
ENSG00000211895.4	24711.9287	0.5443083	3.014187e-05	5.740093e-03
ENSG00000173991.5	  371.9920	0.5293504	4.567008e-26	3.391917e-22
ENSG00000132465.10	 2944.6255	0.5121551	3.805117e-05	6.728716e-03
ENSG00000130595.17	  394.3661	0.4957346	6.689338e-18	2.484086e-14
ENSG00000196296.13	  332.5694	0.4895066	8.190091e-30	1.216556e-25
ENSG00000198125.12	  437.2766	0.4871317	2.920507e-08	2.008326e-05
