"","cluster","reg_status","number"
"1","G4_0","up-regulated",1
"2","G4_0","down-regulated",1
"3","G4_1","up-regulated",0
"4","G4_1","down-regulated",0
"5","G4_2","up-regulated",0
"6","G4_2","down-regulated",0
"7","G4_3","up-regulated",3
"8","G4_3","down-regulated",0
"9","G4_4","up-regulated",1
"10","G4_4","down-regulated",0
"11","G4_5","up-regulated",3
"12","G4_5","down-regulated",0
"13","G4_6","up-regulated",0
"14","G4_6","down-regulated",0
"15","G4_7","up-regulated",0
"16","G4_7","down-regulated",0
"17","G4_8","up-regulated",3
"18","G4_8","down-regulated",0
"19","G4_9","up-regulated",1
"20","G4_9","down-regulated",0
"21","G4_10","up-regulated",0
"22","G4_10","down-regulated",0
"23","G4_11","up-regulated",4
"24","G4_11","down-regulated",0
"25","G4_12","up-regulated",3
"26","G4_12","down-regulated",0
"27","G4_13","up-regulated",1
"28","G4_13","down-regulated",1
"29","G4_14","up-regulated",0
"30","G4_14","down-regulated",0
"31","G4_15","up-regulated",49
"32","G4_15","down-regulated",0
"33","G4_16","up-regulated",0
"34","G4_16","down-regulated",0
"35","G4_17","up-regulated",0
"36","G4_17","down-regulated",0
"37","G4_18","up-regulated",1
"38","G4_18","down-regulated",2
"39","G4_19","up-regulated",0
"40","G4_19","down-regulated",0
"41","G4_20","up-regulated",3
"42","G4_20","down-regulated",0
"43","G4_21","up-regulated",2
"44","G4_21","down-regulated",1
"45","G4_22","up-regulated",0
"46","G4_22","down-regulated",0
"47","G4_23","up-regulated",1
"48","G4_23","down-regulated",0
"49","G4_24","up-regulated",2
"50","G4_24","down-regulated",0
"51","G4_25","up-regulated",1
"52","G4_25","down-regulated",0
"53","G4_26","up-regulated",1
"54","G4_26","down-regulated",0
"55","G4_27","up-regulated",0
"56","G4_27","down-regulated",0
"57","G4_28","up-regulated",0
"58","G4_28","down-regulated",0
"59","G4_29","up-regulated",0
"60","G4_29","down-regulated",0
"61","G4_30","up-regulated",12
"62","G4_30","down-regulated",0
"63","G4_31","up-regulated",0
"64","G4_31","down-regulated",0
