-------------------------------
  Cluster: 	 Mophological.cluster.G4_5 
 -------------------------------
 Number of up-regulated genes:	 0 
 Number of down-regulated genes:	 0 
 -------------------------------
 pathway	pval	padj	log2err	ES	NES	size	leadingEdge 
 REACTOME_ABC_FAMILY_PROTEINS_MEDIATED_TRANSPORT	0.583416583416583	0.999440041226785	0.0385579101998489	0.334179677420178	0.919400458783897	12	c("ABCA4", "RPS27A")
REACTOME_ABC_TRANSPORTER_DISORDERS	0.869130869130869	0.999440041226785	0.0177038118052295	0.203174332923677	0.522884194689844	7	c("UBA52", "ABCC6", "ABCA3", "PSME2", "PSME1", "UBC")
REACTOME_ABORTIVE_ELONGATION_OF_HIV_1_TRANSCRIPT_IN_THE_ABSENCE_OF_TAT	0.809190809190809	0.999440041226785	0.0221551238181839	0.243037252213835	0.625474370087887	7	c("SUPT5H", "POLR2I", "GTF2F2", "NELFB", "POLR2K", "POLR2J", "NELFE")
REACTOME_ACETYLCHOLINE_NEUROTRANSMITTER_RELEASE_CYCLE	0.689310689310689	0.999440041226785	0.0306322550486472	0.29985952189496	0.771710689878465	7	c("PPFIA4", "CPLX1", "STX1A", "STXBP1", "PPFIA1")
REACTOME_ACTIVATED_NOTCH1_TRANSMITS_SIGNAL_TO_THE_NUCLEUS	0.33966033966034	0.999440041226785	0.0636424081651019	0.423616604826723	1.15752394002447	11	c("MIB2", "RPS27A")
REACTOME_ACTIVATED_TAK1_MEDIATES_P38_MAPK_ACTIVATION	0.768231768231768	0.999440041226785	0.0250603987343648	0.265913534144662	0.705849522444112	9	c("RPS27A", "IRAK2", "NOD1", "RIPK2")
REACTOME_ACTIVATION_OF_ANTERIOR_HOX_GENES_IN_HINDBRAIN_DEVELOPMENT_DURING_EARLY_EMBRYOGENESIS	0.683316683316683	0.999440041226785	0.0310617758113358	0.308608762006588	0.802333308483377	8	c("JUN", "POLR2J", "POLR2K", "EGR2")
REACTOME_ACTIVATION_OF_BAD_AND_TRANSLOCATION_TO_MITOCHONDRIA	0.926073926073926	0.999440041226785	0.0128901829648689	0.148761913217298	0.373689685255632	6	c("YWHAH", "AKT2", "AKT1", "BAD", "YWHAZ", "PPP3CC")
REACTOME_ACTIVATION_OF_BH3_ONLY_PROTEINS	0.68031968031968	0.999440041226785	0.0312771255290148	0.303536645116789	0.805717530283422	9	c("TP53BP2", "BCL2L11", "PPP3CC", "YWHAZ", "BAD")
REACTOME_ACTIVATION_OF_IRF3_IRF7_MEDIATED_BY_TBK1_IKK_EPSILON	0.776223776223776	0.999440041226785	0.0244973552519294	0.260272262937145	0.653803503291079	6	c("RPS27A", "IRF7", "UBC", "TICAM1", "UBA52", "IRF3")
REACTOME_ACTIVATION_OF_KAINATE_RECEPTORS_UPON_GLUTAMATE_BINDING	0.58041958041958	0.999440041226785	0.0387962208304479	0.352038292452354	0.905996620734988	7	c("GNG5", "GNG11", "GNB2", "GNG10")
REACTOME_ACTIVATION_OF_MATRIX_METALLOPROTEINASES	0.998001998001998	0.999440041226785	0.00204130030921835	0.0265511165851583	0.0690286467408958	8	c("TIMP1", "MMP11", "ELANE", "TIMP2", "MMP15", "MMP25", "MMP17", "MMP16")
REACTOME_ACTIVATION_OF_NMDA_RECEPTORS_AND_POSTSYNAPTIC_EVENTS	0.962037962037962	0.999440041226785	0.00906269502060309	0.136915665045376	0.374119329243999	11	c("DLG3", "GRIN3B", "TUBB6", "GRIN2C", "TUBB3", "ARHGEF7", "NRGN", "HRAS", "CAMK2B", "RAC1", "PRKAR1B")
REACTOME_ACTIVATION_OF_THE_MRNA_UPON_BINDING_OF_THE_CAP_BINDING_COMPLEX_AND_EIFS_AND_SUBSEQUENT_BINDING_TO_43S	0.882117882117882	0.999440041226785	0.0166782153543946	0.215723942723433	0.688156080113287	38	c("RPS8", "RPS27", "RPS7", "RPS27A", "RPSA", "EIF4A2", "RPS3A", "RPS23", "RPS14", "RPS18", "RPS12", "RPS20", "PABPC1", "EIF3E", "EIF3H", "RPS6", "RPS24", "EIF3F", "RPS13", "FAU", "RPS3", "RPS25")
REACTOME_ACYL_CHAIN_REMODELLING_OF_PC	0.712287712287712	0.999440041226785	0.0289981119993578	0.291642447348693	0.732605355765504	6	c("MBOAT2", "PLBD1", "PLA2G4B", "PLA2G4F")
REACTOME_ACYL_CHAIN_REMODELLING_OF_PE	0.841158841158841	0.999440041226785	0.0198261062533673	0.222504213554396	0.572631074237079	7	c("MBOAT2", "MBOAT1", "PLBD1", "PLA2G4B", "PLA2G4F")
REACTOME_ADAPTIVE_IMMUNE_SYSTEM	0.558441558441558	0.999440041226785	0.0405756447890657	0.269315075716577	0.968845321571368	135	c("MIB2", "TNFRSF14", "VAMP3", "FBXO44", "FBXO6", "RNF19B", "VCAM1", "CAPZA1", "S100A9", "S100A8", "NCF2", "ENAH", "KIF3C", "ASB3", "RPS27A", "ITGAV", "UBE2E2", "UBE2E1", "TRAIP", "CD200", "ANAPC13", "SIAH2", "KLHL5", "UBA6", "UBE2D3", "ANAPC10", "KLHL2", "SH3RF1", "SKP1", "UBE2B", "KLHL3", "BTN2A1", "HLA-F", "HLA-A", "HLA-E", "HLA-B", "MICA", "HLA-DRB5", "HLA-DRB1", "HLA-DQB1", "TAP1", "HLA-DMA", "TAPBP", "ITPR3", "KLC4", "HACE1", "RAC1", "ZNRF2", "PILRB", "PILRA", "UBE2H", "CTSB", "LONRF1", "DCTN6", 
"PPP2CB", "UBE2V2", "LYN", "ELOC", "RIPK2", "YWHAZ")
REACTOME_ADHERENS_JUNCTIONS_INTERACTIONS	0.968031968031968	0.999440041226785	0.00829069833204511	0.122990353697749	0.331863665322485	10	c("NECTIN2", "PVR", "CDH2", "ACTG1", "JUP", "CDH13", "CDH3")
REACTOME_ADORA2B_MEDIATED_ANTI_INFLAMMATORY_CYTOKINES_PRODUCTION	0.500499500499501	0.999440041226785	0.0455878202571231	0.334978290430521	0.995514790592807	20	c("GNG5", "POMC", "RAMP1", "GNAI2", "GPR27", "VIP", "PRKAR1B", "IL6", "CRHR2", "GNG11", "GNB2")
REACTOME_ADP_SIGNALLING_THROUGH_P2Y_PURINOCEPTOR_1	0.374625374625375	0.999440041226785	0.0589694466690997	0.456054037865149	1.14560700507024	6	c("GNG5", "GNG11", "GNB2", "GNA14", "GNG10")
REACTOME_ADP_SIGNALLING_THROUGH_P2Y_PURINOCEPTOR_12	0.362637362637363	0.999440041226785	0.0605092988656667	0.462210906971479	1.16107305030148	6	c("GNG5", "GNAI2", "GNG11", "GNB2", "GNG10")
REACTOME_ADRENALINE_NORADRENALINE_INHIBITS_INSULIN_SECRETION	0.6003996003996	0.999440041226785	0.0372254009247509	0.344114608077563	0.89464281636449	8	c("GNG5", "GNAI2", "GNG11", "GNB2", "GNG10", "ADCY6", "CACNB3")
REACTOME_AGGREPHAGY	0.913086913086913	0.999440041226785	0.0140757415299283	0.177409510479671	0.484767955808153	11	c("RPS27A", "ARL13B")
REACTOME_AKT_PHOSPHORYLATES_TARGETS_IN_THE_CYTOSOL	0.363636363636364	0.999440041226785	0.0603786357920401	0.441955299755631	1.14901292999299	8	c("CASP9", "CDKN1A")
REACTOME_AMINO_ACIDS_REGULATE_MTORC1	0.601398601398601	0.999440041226785	0.0371479221137289	0.335875561141673	0.891558999413409	9	c("LAMTOR5", "ATP6V1G2", "RRAGD", "LAMTOR4", "RHEB", "ATP6V1G1", "TCIRG1")
REACTOME_AMYLOID_FIBER_FORMATION	0.709290709290709	0.999440041226785	0.0292103127923884	0.289321060389577	0.79056403818539	11	c("RPS27A", "SIAH2", "SNCA", "TGFBI", "TSPAN15", "UBE2L6", "UBC", "ITM2B", "B2M")
REACTOME_ANCHORING_FIBRIL_FORMATION	0.38961038961039	0.999440041226785	0.0571258510018113	0.450646673479089	1.13202371448337	6	c("LAMC2", "LAMB3", "TLL1", "BMP1")
REACTOME_ANCHORING_OF_THE_BASAL_BODY_TO_THE_PLASMA_MEMBRANE	0.981018981018981	0.999440041226785	0.00634596373149448	0.12977657257164	0.389435483357329	21	c("CSNK1E", "SFI1", "NINL", "MARK4", "CEP192", "FBF1", "NDE1", "CEP152", "HSP90AA1", "HAUS4", "TCTN1", "CEP83", "CEP290", "RAB3IP", "DCTN2", "CEP164", "C2CD3")
REACTOME_ANTIGEN_PRESENTATION_FOLDING_ASSEMBLY_AND_PEPTIDE_LOADING_OF_CLASS_I_MHC	0.0849150849150849	0.999440041226785	0.150169802128406	0.605403935944493	1.55805187079075	7	c("HLA-F", "HLA-A", "HLA-E", "HLA-B", "TAP1", "TAPBP")
REACTOME_ANTIGEN_PROCESSING_CROSS_PRESENTATION	0.0549450549450549	0.999440041226785	0.190023305279108	0.503728249619587	1.49701917187298	20	c("VAMP3", "S100A9", "S100A8", "NCF2", "RPS27A", "ITGAV", "HLA-F", "HLA-A", "HLA-E", "HLA-B", "TAP1", "TAPBP")
